country_code,cluster_no,topic_no,topics
AR,5,0,"['white', 'tenni', 'hold', 'game', 'black', 'woman', 'cake', 'shirt', 'racquet', 'court']"
AR,5,1,"['wear', 'shirt', 'cell', 'phone', 'sunglass', 'stand', 'sit', 'laptop', 'hold', 'woman']"
AR,5,2,"['wear', 'stand', 'suit', 'room', 'woman', 'blue', 'park', 'shirt', 'scarf', 'bench']"
AR,5,3,"['cell', 'phone', 'room', 'stand', 'woman', 'hold', 'suit', 'dress', 'pink', 'doorway']"
AR,5,4,"['couch', 'stand', 'woman', 'room', 'suit', 'sit', 'hold', 'doorway', 'smile', 'frisbe']"
AR,5,5,"['pictur', 'pose', 'woman', 'phone', 'sit', 'cell', 'hold', 'pink', 'tenni', 'tray']"
AR,5,6,"['pink', 'woman', 'hold', 'babi', 'room', 'game', 'wine', 'glass', 'shirt', 'video']"
AR,5,7,"['shirt', 'wear', 'peopl', 'group', 'stand', 'woman', 'cell', 'phone', 'snow', 'dress']"
AR,5,8,"['suit', 'room', 'cell', 'phone', 'stand', 'hold', 'hand', 'frost', 'cake', 'knife']"
AR,5,9,"['black', 'room', 'suit', 'surfboard', 'hold', 'person', 'hand', 'stand', 'cell', 'phone']"
AR,6,0,"['fork', 'suit', 'differ', 'sit', 'flower', 'tabl', 'vase', 'knife', 'food', 'white']"
AR,6,1,"['stand', 'cell', 'phone', 'frisbe', 'shirt', 'white', 'hold', 'blue', 'woman', 'near']"
AR,6,2,"['stand', 'stuff', 'sit', 'anim', 'flower', 'black', 'room', 'white', 'vase', 'tabl']"
AR,6,3,"['pair', 'scissor', 'park', 'sit', 'road', 'motorcycl', 'hand', 'wooden', 'truck', 'hold']"
AR,6,4,"['plate', 'food', 'peopl', 'group', 'white', 'pair', 'rid', 'scissor', 'larg', 'black']"
AR,6,5,"['suit', 'room', 'hold', 'clock', 'knife', 'fork', 'street', 'larg', 'walk', 'person']"
AR,6,6,"['knife', 'stand', 'white', 'group', 'peopl', 'tabl', 'snow', 'cake', 'blue', 'park']"
AR,6,7,"['stand', 'woman', 'person', 'rid', 'sit', 'skateboard', 'bird', 'build', 'hold', 'phone']"
AR,6,8,"['stand', 'woman', 'room', 'chair', 'wear', 'kitchen', 'tabl', 'sit', 'knife', 'vase']"
AR,6,9,"['park', 'sign', 'street', 'tabl', 'rid', 'person', 'cake', 'white', 'hold', 'wooden']"
AR,7,0,"['book', 'tabl', 'sign', 'woman', 'stand', 'knife', 'pictur', 'tenni', 'say', 'street']"
AR,7,1,"['white', 'pole', 'street', 'photo', 'black', 'clock', 'tabl', 'sign', 'larg', 'bunch']"
AR,7,2,"['phone', 'cell', 'hand', 'hold', 'person', 'scissor', 'pair', 'book', 'tenni', 'close']"
AR,7,3,"['close', 'clock', 'cell', 'phone', 'room', 'person', 'ski', 'tower', 'hold', 'group']"
AR,7,4,"['clock', 'toothbrush', 'build', 'close', 'larg', 'mous', 'phone', 'cell', 'cellphon', 'coffe']"
AR,7,5,"['sign', 'close', 'tenni', 'background', 'stop', 'street', 'cake', 'build', 'tabl', 'book']"
AR,7,6,"['clock', 'close', 'snowboard', 'larg', 'street', 'pole', 'lay', 'black', 'citi', 'couch']"
AR,7,7,"['hand', 'phone', 'cell', 'person', 'sign', 'hold', 'say', 'street', 'larg', 'scissor']"
AR,7,8,"['scissor', 'pair', 'hand', 'phone', 'cell', 'person', 'hold', 'pictur', 'tabl', 'larg']"
AR,7,9,"['scissor', 'pair', 'person', 'close', 'hand', 'hold', 'basebal', 'room', 'group', 'pictur']"
AR,8,0,"['blender', 'liquid', 'sit']"
AR,9,0,"['black', 'white', 'tenni', 'racket', 'young', 'giant', 'hold', 'teddi', 'bear', 'hand']"
AR,9,1,"['type', 'doughnut', 'differ', 'bunch', 'food', 'bottl', 'lay', 'collar', 'blue', 'tabl']"
AR,9,2,"['sit', 'anim', 'tabl', 'group', 'stuff', 'black', 'white', 'stand', 'cake', 'peopl']"
AR,9,3,"['person', 'cell', 'phone', 'hold', 'hand', 'laptop', 'sit', 'group', 'close', 'pair']"
AR,9,4,"['woman', 'hold', 'hand', 'phone', 'cell', 'bear', 'teddi', 'differ', 'size', 'color']"
AT,0,0,"['cell', 'photo', 'phone', 'hold', 'white', 'black', 'hand', 'person', 'scissor', 'sign']"
AT,0,1,"['phone', 'cell', 'scissor', 'pair', 'hand', 'hold', 'person', 'tabl', 'pictur', 'white']"
AT,1,0,"['phone', 'cell', 'hold', 'stabl', 'pose', 'pictur', 'group', 'hand', 'peopl', 'tabl']"
AT,1,1,"['wear', 'peopl', 'group', 'stand', 'park', 'jacket', 'flower', 'sleep', 'couch', 'suit']"
AT,1,2,"['room', 'suit', 'stand', 'knife', 'woman', 'basebal', 'ball', 'video', 'cell', 'phone']"
AT,1,3,"['clock', 'peopl', 'group', 'build', 'snow', 'stand', 'train', 'sit', 'skateboard', 'ski']"
AT,1,4,"['street', 'glass', 'wine', 'sit', 'hold', 'white', 'rid', 'tabl', 'hydrant', 'suit']"
AT,2,0,"['coffe', 'motorcycl', 'clock', 'rid', 'group', 'peopl', 'road', 'plate', 'sandwich', 'scissor']"
AT,2,1,"['larg', 'clock', 'tower', 'build', 'water', 'fork', 'cake', 'knife', 'boat', 'book']"
AT,2,2,"['clock', 'stand', 'suit', 'build', 'larg', 'group', 'citi', 'peopl', 'bird', 'street']"
AT,2,3,"['skateboard', 'street', 'rid', 'sit', 'tabl', 'walk', 'restaur', 'tower', 'ramp', 'group']"
AT,2,4,"['park', 'train', 'track', 'hold', 'cell', 'phone', 'street', 'travel', 'build', 'forest']"
AT,2,5,"['rid', 'snow', 'sit', 'street', 'stand', 'fli', 'kite', 'bike', 'field', 'bench']"
AT,2,6,"['tower', 'rid', 'clock', 'street', 'skateboard', 'sign', 'larg', 'middl', 'group', 'peopl']"
AT,2,7,"['toothbrush', 'blue', 'grass', 'mouth', 'pole', 'soccer', 'street', 'travel', 'play', 'food']"
AT,2,8,"['snow', 'snowboard', 'stand', 'pair', 'scissor', 'peopl', 'person', 'sit', 'hold', 'group']"
AT,2,9,"['larg', 'tower', 'clock', 'room', 'field', 'peopl', 'play', 'coffe', 'water', 'woman']"
AT,3,0,"['frisbe', 'hand', 'hold', 'yellow']"
AT,4,0,"['suit', 'snow', 'stand', 'surfboard', 'hold', 'shirt', 'rid', 'woman', 'motorcycl', 'street']"
AT,4,1,"['woman', 'stand', 'motorcycl', 'snow', 'hold', 'park', 'street', 'pink', 'rid', 'kite']"
AT,5,0,"['court', 'play', 'tenni']"
AU,0,0,"['water', 'tabl', 'glass', 'plat', 'food', 'bowl', 'basebal', 'rice', 'knife', 'top']"
AU,0,1,"['knife', 'plate', 'sandwich', 'fork', 'fri', 'food', 'cake', 'lot', 'type', 'differ']"
AU,0,2,"['broccoli', 'fork', 'plate', 'knife', 'food', 'tabl', 'coffe', 'salad', 'veget', 'cake']"
AU,0,3,"['sandwich', 'fri', 'bunch', 'fill', 'tabl', 'pickl', 'plate', 'rice', 'coffe', 'banana']"
AU,0,4,"['coffe', 'fork', 'food', 'plat', 'plate', 'tabl', 'bowl', 'wine', 'salad', 'eat']"
AU,0,5,"['coffe', 'sandwich', 'donut', 'plate', 'salad', 'pastri', 'bowl', 'display', 'antiqu', 'collect']"
AU,0,6,"['knife', 'fork', 'chocol', 'meat', 'plate', 'food', 'cake', 'chip', 'sandwich', 'onion']"
AU,0,7,"['fork', 'pizza', 'knife', 'top', 'plate', 'food', 'bowl', 'cake', 'tabl', 'onion']"
AU,0,8,"['banana', 'bunch', 'rice', 'knife', 'fork', 'veget', 'wall', 'hang', 'tabl', 'lot']"
AU,0,9,"['doughnut', 'vase', 'flower', 'fill', 'coffe', 'half', 'slice', 'tabl', 'group', 'bunch']"
AU,1,0,"['build', 'drive', 'street']"
AU,2,0,"['clock', 'phone', 'cell', 'larg', 'tabl', 'hold', 'black', 'build', 'white', 'stand']"
AU,2,1,"['suit', 'cell', 'phone', 'hand', 'hold', 'stand', 'person', 'room', 'basebal', 'field']"
AU,2,2,"['cell', 'phone', 'person', 'hand', 'hold', 'close', 'background', 'game', 'woman', 'street']"
AU,2,3,"['photo', 'white', 'black', 'peopl', 'group', 'stand', 'person', 'clock', 'close', 'hold']"
AU,2,4,"['larg', 'group', 'peopl', 'stand', 'pair', 'fli', 'ski', 'snow', 'person', 'advertis']"
AU,2,5,"['hold', 'pair', 'scissor', 'phone', 'cell', 'wear', 'clock', 'pictur', 'jacket', 'yellow']"
AU,2,6,"['person', 'hand', 'phone', 'cell', 'hold', 'build', 'stop', 'sign', 'snowboard', 'stand']"
AU,2,7,"['hand', 'person', 'cell', 'phone', 'hold', 'larg', 'sign', 'shirt', 'pole', 'street']"
AU,2,8,"['sign', 'street', 'stop', 'say', 'woman', 'pictur', 'stand', 'field', 'basebal', 'white']"
AU,2,9,"['pair', 'scissor', 'person', 'black', 'hold', 'white', 'photo', 'hand', 'phone', 'cell']"
AU,3,0,"['scissor', 'sit', 'wooden', 'tabl', 'ski', 'lay', 'skateboard', 'rid', 'street', 'pair']"
AU,4,0,"['food', 'fork', 'knife', 'plate']"
AU,5,0,"['scissor', 'pair', 'white', 'hold', 'hand', 'person', 'bedspread', 'blue']"
AU,6,0,"['station', 'track', 'train']"
AU,7,0,"['suit', 'room', 'stand', 'field', 'glass', 'wine', 'wear', 'umbrella', 'black', 'peopl']"
AU,7,1,"['park', 'stand', 'woman', 'peopl', 'group', 'hold', 'field', 'babi', 'bunch', 'banana']"
AU,7,2,"['shirt', 'wear', 'cell', 'phone', 'hold', 'woman', 'frisbe', 'pink', 'play', 'yellow']"
AU,7,3,"['room', 'stand', 'shirt', 'suit', 'dress', 'smile', 'woman', 'eat', 'wear', 'train']"
AU,7,4,"['room', 'woman', 'blue', 'kite', 'cell', 'phone', 'stand', 'shirt', 'couch', 'hold']"
AU,7,5,"['wear', 'shirt', 'bench', 'bikini', 'sit', 'surfboard', 'black', 'toothbrush', 'grass', 'pink']"
AU,7,6,"['cell', 'phone', 'hold', 'woman', 'hand', 'sit', 'shirt', 'young', 'racket', 'banana']"
AU,7,7,"['hand', 'frisbe', 'hold', 'bathroom', 'woman', 'dress', 'play', 'wear', 'pink', 'black']"
AU,7,8,"['stand', 'babi', 'suit', 'grass', 'sit', 'room', 'woman', 'stuff', 'peopl', 'group']"
AU,7,9,"['stand', 'group', 'peopl', 'rid', 'bench', 'sit', 'wear', 'tabl', 'woman', 'suit']"
AU,8,0,"['pair', 'scissor', 'cut', 'paper', 'hold', 'hand', 'knife', 'woman', 'close', 'tabl']"
AU,9,0,"['bench', 'tabl', 'wooden', 'sit', 'stand', 'toilet', 'bathroom', 'cake', 'hold', 'field']"
AU,9,1,"['room', 'sign', 'tabl', 'vase', 'hold', 'flower', 'train', 'street', 'build', 'track']"
AU,9,2,"['bench', 'sit', 'white', 'book', 'peopl', 'street', 'woman', 'field', 'lay', 'walk']"
AU,9,3,"['pair', 'scissor', 'group', 'peopl', 'larg', 'frisbe', 'fli', 'stand', 'beach', 'sit']"
AU,9,4,"['clock', 'larg', 'build', 'stand', 'walk', 'tower', 'bird', 'field', 'peopl', 'woman']"
AU,9,5,"['woman', 'stand', 'hold', 'kite', 'park', 'person', 'field', 'hand', 'rid', 'cake']"
AU,9,6,"['kite', 'fli', 'sit', 'person', 'field', 'water', 'stuff', 'yellow', 'stand', 'bear']"
AU,9,7,"['vase', 'flower', 'tabl', 'food', 'person', 'frisbe', 'walk', 'plate', 'play', 'top']"
AU,9,8,"['white', 'sit', 'stand', 'rid', 'skateboard', 'park', 'tabl', 'bench', 'blue', 'person']"
AU,9,9,"['larg', 'street', 'build', 'skateboard', 'rid', 'clock', 'stand', 'airplan', 'fli', 'suit']"
BE,0,0,"['tabl', 'flower', 'sit', 'vase', 'group', 'laptop', 'background', 'cake', 'bird', 'pictur']"
BE,0,1,"['bunch', 'room', 'banana', 'hang', 'stand', 'suit', 'tree', 'build', 'green', 'hold']"
BE,0,2,"['say', 'street', 'sign', 'suit', 'smile', 'doorway', 'uniform', 'basebal', 'stand', 'frisbe']"
BE,0,3,"['group', 'peopl', 'black', 'shirt', 'white', 'stand', 'vase', 'clock', 'yellow', 'hold']"
BE,0,4,"['scissor', 'pair', 'person', 'hand', 'hold', 'phone', 'cell', 'pictur', 'woman', 'pink']"
BE,1,0,"['cell', 'phone', 'hold', 'street', 'sign', 'scissor', 'pair', 'bike', 'tabl', 'group']"
BE,1,1,"['room', 'suit', 'stand', 'woman', 'group', 'peopl', 'wear', 'babi', 'sit', 'clock']"
BE,1,2,"['street', 'black', 'person', 'rid', 'motorcycl', 'scissor', 'hold', 'bike', 'pair', 'hand']"
BE,1,3,"['kitchen', 'middl', 'bench', 'walk', 'tree', 'stand', 'street', 'food', 'sit', 'stave']"
BE,1,4,"['wear', 'park', 'hold', 'skateboard', 'cell', 'phone', 'hand', 'tabl', 'snowboard', 'street']"
BE,1,5,"['clock', 'beach', 'larg', 'black', 'field', 'mirror', 'fli', 'giant', 'player', 'bikini']"
BE,1,6,"['stand', 'field', 'frisbe', 'skateboard', 'grass', 'woman', 'scissor', 'pair', 'snow', 'hold']"
BE,1,7,"['tower', 'citi', 'larg', 'build', 'cell', 'phone', 'clock', 'cake', 'hand', 'hydrant']"
BE,1,8,"['train', 'phone', 'cell', 'hold', 'woman', 'build', 'station', 'stand', 'bridg', 'group']"
BE,1,9,"['phone', 'cell', 'hold', 'sit', 'woman', 'stuff', 'anim', 'larg', 'person', 'bench']"
BE,2,0,"['bike', 'rid', 'street']"
BE,3,0,"['look', 'white', 'sit', 'bench', 'wooden', 'black', 'leather', 'chair', 'sleep']"
BE,4,0,"['woman', 'group', 'peopl', 'bike', 'rid', 'street']"
BE,5,0,"['frisbe', 'group', 'peopl', 'stand', 'tabl']"
BO,0,0,"['differ', 'knife', 'scissor', 'pair', 'tabl', 'bunch', 'size', 'type']"
BO,1,0,"['cake', 'build', 'tabl', 'suit', 'stand', 'crowd', 'peopl', 'park', 'clock', 'group']"
BO,1,1,"['street', 'rid', 'skateboard', 'motorcycl', 'group', 'room', 'snowboard', 'peopl', 'snow', 'stand']"
BO,1,2,"['cell', 'phone', 'walk', 'street', 'park', 'woman', 'umbrella', 'skateboard', 'field', 'kite']"
BO,1,3,"['peopl', 'larg', 'motorcycl', 'group', 'crowd', 'eleph', 'rid', 'stand', 'slope', 'snow']"
BO,1,4,"['hold', 'hand', 'wine', 'glass', 'basebal', 'ramp', 'black', 'wear', 'sit', 'bench']"
BO,2,0,"['street', 'skateboard', 'rid', 'suit', 'trick', 'hill', 'room', 'babi', 'fill', 'skate']"
BO,2,1,"['room', 'suit', 'stand', 'screen', 'kite', 'surfboard', 'beach', 'train', 'track', 'cover']"
BO,2,2,"['person', 'woman', 'bird', 'hold', 'room', 'perch', 'stuff', 'anim', 'stand', 'snowboard']"
BO,2,3,"['drive', 'road', 'build', 'suit', 'stand', 'skateboard', 'hold', 'rid', 'street', 'room']"
BO,2,4,"['stand', 'build', 'suit', 'white', 'sit', 'wall', 'toothbrush', 'vase', 'pictur', 'stabl']"
BO,2,5,"['kitchen', 'laptop', 'motorcycl', 'lay', 'look', 'mirror', 'fenc', 'refriger', 'wire', 'stand']"
BO,2,6,"['skateboard', 'street', 'motorcycl', 'rid', 'larg', 'fli', 'screen', 'hand', 'background', 'chair']"
BO,2,7,"['cell', 'phone', 'hold', 'hand', 'field', 'person', 'suit', 'bunch', 'airplan', 'giraff']"
BO,2,8,"['peopl', 'group', 'scissor', 'pair', 'walk', 'street', 'stand', 'snowboard', 'umbrella', 'hold']"
BO,2,9,"['walk', 'skateboard', 'street', 'stand', 'build', 'suit', 'surfboard', 'doorway', 'ramp', 'rid']"
BO,3,0,"['group', 'motorcycl', 'peopl', 'rid']"
BO,4,0,"['snow', 'snowboard', 'pair', 'street', 'stand', 'middl', 'scissor', 'book', 'shoe', 'bathroom']"
BO,4,1,"['phone', 'cell', 'woman', 'hold', 'tabl', 'vase', 'flower', 'peopl', 'build', 'motorcycl']"
BO,4,2,"['suit', 'sit', 'bench', 'wear', 'stand', 'woman', 'room', 'person', 'scissor', 'cake']"
BO,4,3,"['suit', 'stand', 'person', 'group', 'peopl', 'porch', 'tabl', 'scarf', 'room', 'park']"
BO,4,4,"['group', 'peopl', 'clock', 'train', 'doughnut', 'ramp', 'tabl', 'citi', 'anim', 'skateboard']"
BO,4,5,"['doorway', 'suit', 'hold', 'hand', 'ball', 'rid', 'sidewalk', 'stand', 'tenni', 'racket']"
BO,4,6,"['build', 'black', 'stand', 'surfboard', 'suit', 'lay', 'walk', 'street', 'skirt', 'anim']"
BO,4,7,"['room', 'phone', 'cell', 'woman', 'stand', 'hold', 'hand', 'babi', 'sign', 'chair']"
BO,4,8,"['black', 'hand', 'surfboard', 'young', 'fli', 'kite', 'flag', 'giant', 'restaur', 'eat']"
BO,4,9,"['woman', 'build', 'stand', 'clock', 'room', 'refriger', 'outsid', 'couch', 'shirt', 'scissor']"
BO,5,0,"['tabl', 'flower', 'vase', 'clock', 'sign', 'larg', 'tower', 'hydrant', 'road', 'sit']"
BR,0,0,"['room', 'stand', 'suit']"
BR,1,0,"['book', 'white', 'larg', 'knife', 'shelf', 'type', 'wear', 'cake', 'stand', 'differ']"
BR,1,1,"['hold', 'person', 'park', 'scissor', 'pair', 'road', 'skateboard', 'close', 'room', 'hand']"
BR,1,2,"['sit', 'anim', 'stuff', 'suit', 'donut', 'stand', 'book', 'fork', 'street', 'motorcycl']"
BR,1,3,"['tabl', 'wear', 'food', 'banana', 'bunch', 'hand', 'person', 'hold', 'plate', 'toothbrush']"
BR,1,4,"['hold', 'cell', 'phone', 'hand', 'person', 'room', 'scissor', 'pair', 'white', 'park']"
BR,1,5,"['sit', 'pair', 'scissor', 'cake', 'frost', 'cut', 'paper', 'wooden', 'white', 'floor']"
BR,1,6,"['white', 'pair', 'black', 'person', 'hold', 'close', 'scissor', 'sit', 'hand', 'photo']"
BR,1,7,"['differ', 'bunch', 'clock', 'cake', 'close', 'bench', 'stand', 'cell', 'phone', 'wooden']"
BR,1,8,"['person', 'pair', 'scissor', 'pictur', 'sign', 'hand', 'hold', 'background', 'clock', 'differ']"
BR,1,9,"['scissor', 'pair', 'knife', 'cake', 'tabl', 'stuff', 'wear', 'anim', 'fork', 'suit']"
BR,2,0,"['pair', 'scissor']"
BR,3,0,"['peopl', 'group', 'park', 'bench', 'stand', 'book', 'sit', 'woman', 'room', 'grass']"
BR,3,1,"['wear', 'shirt', 'stand', 'street', 'room', 'skateboard', 'group', 'peopl', 'rid', 'park']"
BR,3,2,"['stand', 'room', 'rid', 'street', 'suit', 'group', 'peopl', 'woman', 'food', 'cake']"
BR,3,3,"['room', 'stand', 'suit', 'woman', 'hold', 'build', 'larg', 'hand', 'cell', 'phone']"
BR,3,4,"['cell', 'phone', 'hold', 'woman', 'suit', 'cake', 'stand', 'wear', 'peopl', 'group']"
BR,3,5,"['suit', 'room', 'wear', 'stand', 'shirt', 'street', 'woman', 'tree', 'white', 'tabl']"
BR,3,6,"['suit', 'stand', 'room', 'sit', 'street', 'field', 'walk', 'tabl', 'peopl', 'group']"
BR,3,7,"['sit', 'group', 'peopl', 'stand', 'build', 'tabl', 'woman', 'kitchen', 'bench', 'couch']"
BR,3,8,"['wear', 'shirt', 'woman', 'sit', 'cake', 'window', 'remot', 'runway', 'play', 'pink']"
BR,3,9,"['hold', 'surfboard', 'shirt', 'wear', 'person', 'pink', 'hand', 'woman', 'white', 'cell']"
BR,4,0,"['street', 'park', 'white', 'road', 'black', 'blue', 'truck']"
BR,5,0,"['bunch', 'clock', 'differ', 'type']"
BR,6,0,"['bird', 'grass', 'rock', 'small', 'stand']"
BR,7,0,"['airplan', 'commerci', 'display', 'larg', 'museum']"
BR,8,0,"['wooden', 'surfac', 'close', 'devic', 'slip']"
BR,9,0,"['phone', 'cell', 'pair', 'scissor', 'person', 'hand', 'hold', 'tabl', 'close', 'teddi']"
BR,9,1,"['scissor', 'pair', 'street', 'stand', 'larg', 'cell', 'phone', 'clock', 'hand', 'pole']"
BR,9,2,"['phone', 'cell', 'woman', 'hold', 'build', 'person', 'basebal', 'hand', 'clock', 'larg']"
BR,9,3,"['suit', 'white', 'room', 'photo', 'black', 'stand', 'person', 'hand', 'hold', 'scissor']"
BR,9,4,"['hand', 'phone', 'cell', 'person', 'hold', 'woman', 'book', 'pair', 'scissor', 'pictur']"
BR,9,5,"['group', 'cell', 'phone', 'stand', 'peopl', 'room', 'hold', 'tabl', 'anim', 'bird']"
BR,9,6,"['white', 'black', 'sign', 'larg', 'person', 'pictur', 'close', 'street', 'cell', 'phone']"
BR,9,7,"['cell', 'phone', 'hold', 'hand', 'person', 'tenni', 'larg', 'banana', 'bird', 'white']"
BR,9,8,"['hand', 'person', 'scissor', 'pair', 'sign', 'hold', 'clock', 'stop', 'cell', 'phone']"
BR,9,9,"['close', 'person', 'cell', 'phone', 'group', 'hold', 'clock', 'peopl', 'tabl', 'kite']"
CA,0,0,"['white', 'clock', 'larg', 'person', 'tabl', 'fli', 'black', 'photo', 'airplan', 'peopl']"
CA,0,1,"['snow', 'sit', 'hold', 'snowboard', 'white', 'surfboard', 'hand', 'wooden', 'book', 'basebal']"
CA,0,2,"['cell', 'phone', 'sign', 'hold', 'woman', 'hand', 'street', 'white', 'skateboard', 'stop']"
CA,0,3,"['sign', 'snowboard', 'white', 'larg', 'tabl', 'close', 'person', 'street', 'stop', 'snow']"
CA,0,4,"['hand', 'phone', 'cell', 'person', 'hold', 'woman', 'stand', 'field', 'pictur', 'beard']"
CA,0,5,"['close', 'cell', 'phone', 'clock', 'hold', 'person', 'stand', 'suit', 'pictur', 'flower']"
CA,0,6,"['say', 'street', 'knife', 'sign', 'scissor', 'pair', 'fli', 'build', 'walk', 'sit']"
CA,0,7,"['scissor', 'pair', 'hand', 'person', 'hold', 'stand', 'group', 'wear', 'peopl', 'room']"
CA,0,8,"['phone', 'cell', 'hold', 'person', 'hand', 'close', 'suit', 'snowboard', 'stuff', 'anim']"
CA,0,9,"['scissor', 'pair', 'hold', 'cell', 'phone', 'person', 'hand', 'sign', 'street', 'stand']"
CA,1,0,"['knife', 'person', 'hold', 'fork', 'sandwich', 'food', 'coffe', 'salad', 'plate', 'hand']"
CA,1,1,"['knife', 'fork', 'food', 'plate', 'fri', 'sandwich', 'cake', 'slice', 'white', 'doughnut']"
